X Gaze Data, Y Gaze Data, Time 
1272,269,18828551
1272,269,18828562
1273,269,18828573
1272,268,18828584
1273,268,18828597
1276,268,18828606
1276,269,18828617
1275,270,18828644
1273,272,18828650
1273,271,18828662
1273,271,18828674
1274,271,18828684
1274,272,18828695
1275,272,18828721
1275,271,18828728
1276,271,18828740
1276,270,18828752
1276,271,18828761
1276,271,18828773
1277,272,18828799
1280,272,18828806
1282,271,18828817
1282,271,18828830
1262,271,18828840
1174,271,18828850
776,277,18828877
736,280,18828883
726,280,18828895
713,280,18828907
695,282,18828917
652,285,18828928
645,287,18828954
649,290,18828962
648,290,18828973
649,290,18828986
649,290,18828995
649,291,18829006
647,292,18829018
605,302,18829028
602,302,18829040
600,303,18829050
599,303,18829064
597,304,18829073
595,306,18829083
592,308,18829096
591,309,18829106
590,308,18829117
590,308,18829128
590,308,18829143
589,309,18829150
589,309,18829162
589,310,18829174
589,310,18829183
589,310,18829195
589,310,18829220
589,308,18829228
591,307,18829240
592,306,18829252
591,306,18829262
591,303,18829272
591,302,18829284
593,301,18829294
594,302,18829306
594,303,18829317
597,303,18829331
594,303,18829339
596,303,18829350
620,300,18829362
639,297,18829373
644,296,18829383
653,296,18829395
655,296,18829409
656,296,18829417
662,293,18829428
662,292,18829440
663,289,18829450
664,291,18829461
664,295,18829487
663,293,18829494
662,292,18829506
662,291,18829517
662,292,18829528
661,292,18829539
660,292,18829565
701,291,18829572
702,291,18829583
708,292,18829596
711,292,18829606
712,293,18829616
726,292,18829643
729,293,18829650
727,294,18829662
727,295,18829675
727,295,18829683
728,295,18829694
729,295,18829720
725,296,18829728
724,297,18829739
725,297,18829752
728,295,18829761
730,294,18829772
730,294,18829783
733,294,18829794
754,297,18829806
756,297,18829830
770,293,18829839
771,293,18829850
772,293,18829861
774,293,18829872
775,295,18829883
772,295,18829894
772,295,18829908
772,295,18829916
771,294,18829928
771,294,18829954
772,292,18829961
772,292,18829972
773,292,18829985
774,292,18829994
780,293,18830005
793,295,18830016
798,296,18830032
815,295,18830038
817,295,18830049
818,295,18830064
821,295,18830072
822,296,18830083
823,297,18830096
823,295,18830106
823,295,18830116
824,295,18830128
824,296,18830142
824,297,18830149
824,298,18830161
824,298,18830174
826,299,18830183
831,300,18830194
847,299,18830220
851,299,18830221
857,299,18830227
864,299,18830239
870,298,18830252
873,296,18830261
887,287,18830272
887,289,18830283
886,290,18830294
886,290,18830305
886,291,18830330
884,292,18830339
884,292,18830349
884,291,18830361
884,292,18830372
884,293,18830382
882,294,18830394
881,294,18830408
881,294,18830415
880,294,18830427
880,294,18830440
881,293,18830449
881,293,18830461
884,293,18830472
884,293,18830486
884,293,18830494
885,295,18830505
893,293,18830517
921,295,18830528
937,294,18830538
946,294,18830564
961,294,18830571
965,294,18830582
969,294,18830595
969,294,18830605
971,292,18830616
971,292,18830643
968,294,18830649
968,293,18830674
968,296,18830682
968,297,18830694
968,298,18830720
969,300,18830727
969,300,18830738
969,300,18830751
969,300,18830761
970,301,18830771
976,300,18830782
990,298,18830798
1013,300,18830805
1014,300,18830816
1015,300,18830829
1016,300,18830838
1016,300,18830849
1017,299,18830875
1017,298,18830882
1018,299,18830894
1018,299,18830906
1018,300,18830916
1018,301,18830927
1019,302,18830952
1019,302,18830960
1019,300,18830971
1019,301,18830983
1019,300,18830993
1018,300,18831005
1016,300,18831031
1014,298,18831038
1014,298,18831049
1014,297,18831063
1013,298,18831072
1013,298,18831082
1016,298,18831094
1017,298,18831110
1019,298,18831115
1021,298,18831141
1033,300,18831148
1042,300,18831160
1046,298,18831173
1045,297,18831182
1045,298,18831194
1044,298,18831205
1044,298,18831220
1044,298,18831227
1043,298,18831238
1042,298,18831251
1041,299,18831260
1041,299,18831271
1042,299,18831297
1043,299,18831304
1043,300,18831315
1043,299,18831328
1044,299,18831338
1050,298,18831348
1071,296,18831375
1082,298,18831382
1083,298,18831393
1084,299,18831406
1085,299,18831415
1087,299,18831426
1087,298,18831438
1086,298,18831448
1086,298,18831460
1083,295,18831471
1083,295,18831484
1083,294,18831493
1082,295,18831504
1083,295,18831515
1083,295,18831531
1082,295,18831538
1082,297,18831548
1082,297,18831562
1082,297,18831571
1085,297,18831582
1085,297,18831609
1110,294,18831615
1128,293,18831627
1137,294,18831640
1140,294,18831648
1141,295,18831660
1146,293,18831686
1146,292,18831693
1145,292,18831704
1144,293,18831718
1143,294,18831726
1145,293,18831737
1144,293,18831749
1139,293,18831760
1133,293,18831771
1131,293,18831796
665,322,18831804
658,322,18831815
653,323,18831826
646,323,18831837
630,325,18831848
628,326,18831859
627,328,18831874
627,329,18831881
627,329,18831893
627,329,18831905
625,329,18831919
625,329,18831926
626,330,18831937
626,330,18831950
627,330,18831960
626,331,18831970
628,334,18831981
629,335,18831997
631,336,18832004
632,338,18832015
632,340,18832027
632,340,18832037
631,340,18832048
631,340,18832059
631,339,18832073
631,340,18832081
632,340,18832093
633,339,18832105
638,340,18832115
662,335,18832126
663,334,18832151
668,334,18832152
676,338,18832159
676,338,18832170
677,338,18832183
677,338,18832192
677,334,18832204
676,336,18832230
676,338,18832237
675,339,18832248
675,338,18832261
675,337,18832270
675,337,18832281
675,337,18832308
675,336,18832314
675,336,18832326
675,336,18832339
679,338,18832348
679,338,18832359
680,338,18832370
679,337,18832386
679,337,18832393
679,337,18832404
678,335,18832417
679,335,18832426
679,336,18832437
679,335,18832448
680,336,18832459
682,336,18832470
671,351,18832481
668,357,18832496
668,363,18832503
669,365,18832514
669,367,18832527
667,369,18832537
667,367,18832547
662,368,18832574
663,370,18832581
664,371,18832592
663,371,18832604
663,374,18832614
665,376,18832626
666,377,18832652
668,380,18832659
668,380,18832670
668,380,18832684
668,381,18832692
665,381,18832703
645,381,18832715
637,381,18832726
634,381,18832737
630,381,18832747
623,380,18832761
622,375,18832770
621,374,18832781
619,371,18832793
620,372,18832804
618,368,18832814
617,367,18832839
615,361,18832847
615,360,18832859
614,356,18832871
613,354,18832881
612,354,18832892
612,353,18832918
611,351,18832925
610,349,18832937
610,348,18832949
609,346,18832959
603,336,18832970
603,335,18832996
606,335,18833003
610,334,18833014
622,331,18833026
630,329,18833041
648,326,18833047
652,326,18833059
660,327,18833071
662,327,18833080
668,327,18833092
669,325,18833118
668,324,18833125
668,324,18833137
668,324,18833150
668,324,18833159
668,325,18833170
669,325,18833181
669,324,18833192
669,325,18833203
671,328,18833213
671,328,18833228
670,329,18833237
669,332,18833247
669,334,18833259
669,335,18833270
669,336,18833280
669,337,18833306
670,339,18833313
671,339,18833325
673,338,18833337
674,336,18833347
676,326,18833358
677,323,18833384
678,319,18833392
678,317,18833403
678,318,18833415
679,319,18833425
680,320,18833436
682,322,18833462
682,322,18833470
681,323,18833480
680,324,18833494
680,324,18833503
680,325,18833513
679,325,18833541
668,324,18833547
653,323,18833558
647,322,18833571
638,321,18833580
633,321,18833592
628,320,18833618
610,317,18833625
610,317,18833636
609,317,18833649
610,317,18833658
609,317,18833670
609,317,18833695
609,317,18833703
609,318,18833713
610,319,18833726
609,320,18833736
609,320,18833747
609,321,18833773
614,322,18833780
615,322,18833792
615,322,18833805
615,322,18833813
616,323,18833825
615,326,18833852
614,327,18833858
614,327,18833870
617,327,18833882
634,323,18833892
639,323,18833903
642,323,18833913
646,323,18833929
651,323,18833936
653,323,18833947
654,323,18833960
654,323,18833969
655,323,18833980
655,324,18834006
655,327,18834013
656,327,18834024
657,327,18834037
659,328,18834047
665,328,18834058
671,329,18834083
677,329,18834091
678,328,18834103
679,328,18834115
684,328,18834125
683,328,18834136
679,328,18834147
677,328,18834158
671,334,18834169
657,344,18834180
648,351,18834194
642,356,18834202
639,358,18834213
635,361,18834225
626,367,18834236
625,368,18834246
625,369,18834258
625,370,18834271
624,369,18834280
624,369,18834291
625,370,18834302
626,370,18834318
626,370,18834324
627,370,18834336
627,371,18834349
626,373,18834358
625,377,18834369
625,378,18834394
624,382,18834395
624,384,18834403
623,384,18834413
623,386,18834426
625,386,18834436
624,386,18834446
623,385,18834473
624,387,18834479
623,389,18834491
623,389,18834505
622,389,18834513
622,389,18834524
621,390,18834536
620,390,18834546
618,391,18834557
618,391,18834583
616,390,18834591
615,389,18834602
615,388,18834614
621,388,18834624
658,391,18834635
661,391,18834661
670,391,18834669
674,393,18834679
677,393,18834693
683,395,18834702
683,394,18834713
683,396,18834738
683,398,18834746
682,399,18834757
682,399,18834769
682,401,18834779
682,401,18834790
682,401,18834802
680,401,18834816
680,401,18834824
680,400,18834835
681,400,18834847
681,400,18834857
681,399,18834868
683,399,18834894
688,404,18834902
692,404,18834912
698,405,18834925
701,405,18834935
705,406,18834946
709,406,18834972
723,407,18834979
724,406,18834991
721,404,18835002
721,403,18835012
720,403,18835024
720,402,18835050
720,398,18835057
720,397,18835068
721,397,18835080
722,396,18835090
722,395,18835102
722,395,18835127
724,396,18835135
725,394,18835146
725,394,18835159
725,394,18835168
725,394,18835179
725,393,18835205
722,393,18835212
720,395,18835224
720,394,18835237
719,396,18835246
718,397,18835257
718,398,18835283
717,399,18835290
707,398,18835302
690,398,18835314
685,398,18835324
680,398,18835335
675,397,18835360
663,395,18835368
662,397,18835379
662,397,18835393
662,397,18835402
662,396,18835412
663,395,18835424
663,396,18835435
663,396,18835445
663,397,18835457
663,397,18835471
663,397,18835479
662,397,18835490
653,397,18835502
635,396,18835518
625,394,18835523
609,395,18835549
602,395,18835556
601,396,18835568
593,397,18835580
592,397,18835590
591,401,18835601
592,401,18835627
594,402,18835635
594,402,18835645
595,402,18835658
594,402,18835668
593,403,18835679
593,403,18835690
594,404,18835705
595,404,18835712
594,403,18835723
591,403,18835737
587,402,18835745
589,402,18835756
589,402,18835783
588,400,18835789
589,400,18835801
589,400,18835814
590,400,18835823
590,399,18835834
589,398,18835846
589,397,18835856
587,397,18835868
586,400,18835893
584,402,18835901
582,402,18835912
583,402,18835925
582,402,18835934
582,403,18835945
582,403,18835971
580,405,18835978
580,405,18835990
580,405,18836002
581,404,18836012
581,404,18836023
581,404,18836049
580,403,18836056
581,402,18836068
581,400,18836080
581,400,18836089
581,401,18836101
580,400,18836126
579,398,18836134
579,397,18836145
578,397,18836157
577,397,18836167
577,397,18836178
578,397,18836204
577,400,18836211
576,401,18836223
576,402,18836234
576,401,18836250
575,402,18836256
575,402,18836267
574,401,18836281
574,401,18836289
575,401,18836301
576,399,18836313
579,397,18836323
579,397,18836334
580,398,18836360
579,398,18836367
577,398,18836378
578,397,18836391
577,397,18836401
578,397,18836411
578,398,18836438
579,400,18836445
579,401,18836456
578,400,18836470
579,401,18836478
577,400,18836489
576,401,18836501
576,401,18836511
574,400,18836522
573,397,18836549
574,396,18836556
574,396,18836567
575,396,18836579
575,396,18836589
576,396,18836601
577,398,18836627
578,400,18836634
576,400,18836645
575,400,18836658
574,401,18836667
574,402,18836678
575,402,18836690
576,403,18836701
576,403,18836711
575,403,18836737
573,403,18836744
573,403,18836756
573,403,18836768
573,402,18836778
574,399,18836789
574,398,18836800
575,399,18836814
576,399,18836822
576,399,18836834
573,400,18836845
573,400,18836856
573,401,18836867
574,400,18836891
574,401,18836900
573,401,18836911
573,401,18836938
575,400,18836944
576,401,18836956
577,401,18836969
577,403,18836978
577,403,18836989
576,403,18837015
577,403,18837016
577,403,18837022
578,404,18837034
576,404,18837047
575,404,18837056
574,404,18837067
576,401,18837078
576,401,18837089
578,403,18837100
583,411,18837111
597,457,18837125
598,464,18837133
600,470,18837144
601,477,18837156
604,488,18837167
606,494,18837177
609,510,18837189
608,512,18837203
608,514,18837211
608,514,18837222
608,514,18837234
608,514,18837244
606,513,18837255
606,514,18837281
609,511,18837289
610,509,18837300
610,509,18837312
610,508,18837322
611,508,18837333
611,508,18837344
611,508,18837355
609,511,18837367
607,511,18837391
604,511,18837400
603,503,18837410
599,481,18837422
598,465,18837433
598,457,18837444
597,445,18837455
595,438,18837468
594,430,18837477
593,428,18837488
594,427,18837515
594,428,18837522
593,427,18837533
595,428,18837546
598,429,18837555
599,431,18837567
599,432,18837578
600,432,18837588
600,432,18837600
600,433,18837624
600,430,18837633
599,430,18837644
599,431,18837656
598,431,18837667
598,430,18837677
598,430,18837702
598,429,18837710
597,430,18837722
597,429,18837733
597,428,18837748
599,427,18837755
598,427,18837766
599,428,18837780
598,431,18837788
597,433,18837800
596,432,18837810
594,432,18837822
594,434,18837833
595,444,18837844
599,478,18837858
600,489,18837867
602,506,18837877
603,517,18837889
605,527,18837899
608,538,18837910
611,547,18837935
613,548,18837943
613,549,18837955
613,549,18837967
613,549,18837982
613,549,18837988
613,550,18838000
613,551,18838013
612,551,18838021
612,551,18838033
612,550,18838043
612,550,18838058
612,550,18838066
608,549,18838077
607,550,18838090
607,550,18838099
609,549,18838110
609,549,18838137
610,548,18838143
612,548,18838155
612,548,18838168
613,546,18838177
613,543,18838188
611,533,18838214
602,483,18838221
600,472,18838233
599,466,18838246
597,454,18838255
595,443,18838266
595,442,18838278
595,441,18838288
596,440,18838299
596,440,18838325
596,439,18838333
597,439,18838343
597,439,18838356
598,439,18838366
598,439,18838376
598,439,18838388
598,438,18838404
598,439,18838410
598,441,18838421
598,442,18838435
598,442,18838443
598,443,18838454
597,443,18838466
595,441,18838482
596,440,18838488
596,440,18838514
596,440,18838521
596,439,18838532
596,438,18838546
596,439,18838554
597,440,18838566
598,442,18838578
598,443,18838588
599,446,18838599
599,446,18838610
